,Series_reference,Data_value,STATUS
418,BDCQ.SEA1CS,230489.0,R
419,BDCQ.SEA1CS,232121.0,R
420,BDCQ.SEA1CS,231456.0,R
421,BDCQ.SEA1CS,229612.0,R
422,BDCQ.SEA1CS,228264.0,R
423,BDCQ.SEA1CS,227770.0,F
424,BDCQ.SEA1CT,205597.0,R
425,BDCQ.SEA1CT,205138.0,R
426,BDCQ.SEA1CT,204706.0,R
427,BDCQ.SEA1CT,204980.0,R
428,BDCQ.SEA1CT,205002.0,R
429,BDCQ.SEA1CT,204320.0,R
430,BDCQ.SEA1CT,204177.0,R
431,BDCQ.SEA1CT,204437.0,R
432,BDCQ.SEA1CT,204595.0,R
433,BDCQ.SEA1CT,205898.0,R
434,BDCQ.SEA1CT,207609.0,R
435,BDCQ.SEA1CT,208392.0,R
436,BDCQ.SEA1CT,209098.0,R
437,BDCQ.SEA1CT,209557.0,R
438,BDCQ.SEA1CT,209678.0,R
439,BDCQ.SEA1CT,210198.0,R
440,BDCQ.SEA1CT,211236.0,R
441,BDCQ.SEA1CT,211689.0,R
442,BDCQ.SEA1CT,212085.0,R
443,BDCQ.SEA1CT,212707.0,R
444,BDCQ.SEA1CT,213598.0,R
445,BDCQ.SEA1CT,214519.0,R
446,BDCQ.SEA1CT,215178.0,R
447,BDCQ.SEA1CT,216079.0,R
448,BDCQ.SEA1CT,217370.0,R
449,BDCQ.SEA1CT,218660.0,R
450,BDCQ.SEA1CT,220035.0,R
451,BDCQ.SEA1CT,221934.0,R
452,BDCQ.SEA1CT,222926.0,R
453,BDCQ.SEA1CT,222985.0,R
454,BDCQ.SEA1CT,223508.0,R
455,BDCQ.SEA1CT,224374.0,R
456,BDCQ.SEA1CT,224499.0,R
457,BDCQ.SEA1CT,225004.0,R
458,BDCQ.SEA1CT,226064.0,R
459,BDCQ.SEA1CT,225757.0,R
460,BDCQ.SEA1CT,224193.0,R
461,BDCQ.SEA1CT,222986.0,R
462,BDCQ.SEA1CT,221876.0,R
463,BDCQ.SEA1CT,221776.0,R
464,BDCQ.SEA1CT,223281.0,R
465,BDCQ.SEA1CT,224884.0,R
466,BDCQ.SEA1CT,225697.0,R
467,BDCQ.SEA1CT,226036.0,R
468,BDCQ.SEA1CT,226706.0,R
469,BDCQ.SEA1CT,227936.0,R
470,BDCQ.SEA1CT,229326.0,R
471,BDCQ.SEA1CT,230672.0,R
472,BDCQ.SEA1CT,231846.0,R
473,BDCQ.SEA1CT,231415.0,R
474,BDCQ.SEA1CT,229709.0,R
475,BDCQ.SEA1CT,228328.0,R
476,BDCQ.SEA1CT,227737.0,F
477,BDCQ.SEA1DA,14486.0,F
478,BDCQ.SEA1DA,14796.0,F
479,BDCQ.SEA1DA,15026.0,F
480,BDCQ.SEA1DA,15065.0,F
481,BDCQ.SEA1DA,15046.0,F
482,BDCQ.SEA1DA,15188.0,F
483,BDCQ.SEA1DA,15269.0,F
484,BDCQ.SEA1DA,15844.0,F
485,BDCQ.SEA1DA,15895.0,F
486,BDCQ.SEA1DA,15773.0,F
487,BDCQ.SEA1DA,16010.0,F
488,BDCQ.SEA1DA,15570.0,F
489,BDCQ.SEA1DA,15347.0,F
490,BDCQ.SEA1DA,15515.0,F
491,BDCQ.SEA1DA,15830.0,F
492,BDCQ.SEA1DA,16017.0,F
493,BDCQ.SEA1DA,15972.0,F
494,BDCQ.SEA1DA,15962.0,F
495,BDCQ.SEA1DA,16143.0,F
496,BDCQ.SEA1DA,16372.0,F
497,BDCQ.SEA1DA,16416.0,F
498,BDCQ.SEA1DA,16533.0,F
499,BDCQ.SEA1DA,16245.0,F
500,BDCQ.SEA1DA,17207.0,F
501,BDCQ.SEA1DA,17243.0,F
502,BDCQ.SEA1DA,17678.0,F
503,BDCQ.SEA1DA,18145.0,F
504,BDCQ.SEA1DA,18505.0,F
505,BDCQ.SEA1DA,18511.0,F
506,BDCQ.SEA1DA,18512.0,F
507,BDCQ.SEA1DA,18812.0,F
508,BDCQ.SEA1DA,18937.0,F
509,BDCQ.SEA1DA,19046.0,F
510,BDCQ.SEA1DA,19316.0,F
511,BDCQ.SEA1DA,19634.0,F
512,BDCQ.SEA1DA,19770.0,F
513,BDCQ.SEA1DA,19791.0,F
514,BDCQ.SEA1DA,20060.0,R
515,BDCQ.SEA1DA,20282.0,R
516,BDCQ.SEA1DA,20618.0,R
517,BDCQ.SEA1DA,20644.0,R
518,BDCQ.SEA1DA,20738.0,R
519,BDCQ.SEA1DA,21113.0,R
520,BDCQ.SEA1DA,21386.0,R
521,BDCQ.SEA1DA,22052.0,R
522,BDCQ.SEA1DA,21892.0,R
523,BDCQ.SEA1DA,22208.0,R
524,BDCQ.SEA1DA,22680.0,F
525,BDCQ.SEA1DA,22361.0,F
526,BDCQ.SEA1DA,22599.0,F
527,BDCQ.SEA1DA,23256.0,F
528,BDCQ.SEA1DA,23426.0,F
529,BDCQ.SEA1DA,23592.0,F
530,BDCQ.SEA1DS,14486.0,R
531,BDCQ.SEA1DS,14796.0,R
532,BDCQ.SEA1DS,15026.0,R
533,BDCQ.SEA1DS,15065.0,R
534,BDCQ.SEA1DS,15046.0,R
535,BDCQ.SEA1DS,15188.0,R
536,BDCQ.SEA1DS,15269.0,R
537,BDCQ.SEA1DS,15844.0,R
538,BDCQ.SEA1DS,15895.0,R
539,BDCQ.SEA1DS,15773.0,R
540,BDCQ.SEA1DS,16010.0,R
541,BDCQ.SEA1DS,15570.0,R
542,BDCQ.SEA1DS,15347.0,R
543,BDCQ.SEA1DS,15515.0,R
544,BDCQ.SEA1DS,15830.0,R
545,BDCQ.SEA1DS,16017.0,R
546,BDCQ.SEA1DS,15972.0,R
547,BDCQ.SEA1DS,15962.0,R
548,BDCQ.SEA1DS,16143.0,R
549,BDCQ.SEA1DS,16372.0,R
550,BDCQ.SEA1DS,16416.0,R
551,BDCQ.SEA1DS,16533.0,R
552,BDCQ.SEA1DS,16245.0,R
553,BDCQ.SEA1DS,17207.0,R
554,BDCQ.SEA1DS,17243.0,R
555,BDCQ.SEA1DS,17678.0,R
556,BDCQ.SEA1DS,18145.0,R
